Ct,Day,Topic,Spec,Ident,Day 1 Study Guide Question,(A),(B),(C),(D),Ans,Form,Answer
32,1,Topic,Barrier ,DS1.32,Which statement best describes a positive test?,A test performed on a barrier where the pressure applied to the formation side of the barrier is equal to the pressure on the surface side of the barrier,A test performed on a barrier where the pressure applied to the formation side of the barrier is greater than the pressure on the surface side of the barrier,A test performed on a barrier where the pressure on the formation side of the barrier is less than the pressure on the surface side of the barrier ,A good pressure test on surface equipment,C,,
33,1,Topic,Barrier ,DS1.33,"Which statement best describes a ""Barrier System"" (Envelope)?",A set of processes and procedures that prevent the well from kicking,The BOP only,Drilling fluid and barite,More than one barrier that act together to prevent flow from the formation,D,,
34,1,Topic,Barrier ,DS1.34,Which statement best describes an item that is NOT classified as a barrier?,The mud hydrostatic pressure,A drill string float valve,The pipe rams,A cement plug,B,,
35,1,Topic,Casing ,DS1.35,We are drilling a development well within an established producing field.  Which statement best describes the pressure test normally used to determent formation strength at the casing shoe?,Leak Off Test,Formation Integrity Test,Drill Stem Test,BOP Test,B,,
36,1,Topic,Casing ,DS1.36,Please select the best statement which describes what is needed to determine the casing shoe formation strength?,The exact TVD of the casing shoe,Accurate hole capacity,Accurate pump stroke counters,Kill weight mud,A,,
37,1,Topic,FormP,DS1.37,Which of the following statements may NOT warn of an increase in formation pressure?,WOB display or gauge,ROP display or gauge,Accumulator Pressure display or gauge,Torque display or gauge,C,,
38,1,Topic,MAASP,DS1.38,Which statement describes the best definition of Maximum Allowable Annular Surface Pressure (MAASP)?,The pressure which will cause losses at the  bottom of the hole,The pressure which will cause flow at the casing,The pressure which will cause losses at the casing shoe minus the mud hydrostatic at the casing shoe,The pressure which will cause pit gains when bit is on bottom,C,,
39,1,Topic,Porosity,DS1.39,Which statement defines the percentage of void space in a formation?,Porosity,Permeability,Viscosity,Mud density,A,,
40,1,Topic,Balloon ,DS1.40,"When ballooning occurs, Bottomhole Pressure (BHP) is slightly increased more than the formation fracture pressure.  Which statement best describes an what causes an increase?",Mud hydrostatic pressure in the well,Abnormal formation pore pressure,Annular friction pressure while circulating,Subnormal formation pore pressure,C,,
41,1,Topic,BHP ,DS1.41,"The crew has spaced out, shut down and successfully shut-in on a kick.  The stabilized Shut-in Drillpipe Pressure (SIDPP) reads 300 psi and the Shut-in Casing Pressure (SICP) reads 450 psi.  If SIDPP is held at 300 psi, what's the BHP?",Increase,Decrease,Stay the same,None of the above,C,,
42,1,Topic,FIT ,DS1.42,Which statement best describes the amount of pressure a formation can withstand before fracturing?,Mud Hydrostatic pressure,Formation strength,Mud type,Annular pressure loss while circulating,B,,
43,1,Topic,Flow check ,DS1.43,What circumstances require a flow check?,Before the drill bit is run-in past the BOP,Before the drill bit is run-in past the casing shoe,After pulling the entire drill string out of hole,Before beginning to pull out of the hole,D,,
44,1,Topic,MAASP ,DS1.44,Which of the following statements describes the LEAST likely event which will cause pressures to exceed Maximum Allowable Annular Surface Pressures (MAASP)?,A small pit gain,A large pit gain,A long open hole section,A short open hole section ,D,,
45,1,Topic,MAASP ,DS1.45,Which statement best describes Maximum Allowable Annular Surface Pressure (MAASP)?,Total pressure applied at the shoe that will cause fluid losses,Total pressure that will cause fluid losses at the casing shoe minus the mud hydrostatic at the casing shoe,The difference in pressure between the annulus hydrostatic pressure and formation pressure,Minimum pump pressure required to start a well kill operation,B,,
46,1,Topic,OBM ,DS1.46,"As a gas influx is circulated to surface within an oil-based mud, which statement best describes the cause of gas to break out of solution?",The large inside diameter of the riser causes gas to break out of solution,The temperature change of the mud as it gets cooler near surface,The decrease in mud hydrostatic pressure above the gas when it gets close to surface ,The increasing mud hydrostatic pressure in the annulus,C,,
47,1,Topic,ROP ,DS1.47,"While drilling ahead at a constant rate of penetration, returns on the flowline become excessive.  What is the safest next step?","Check for flow – if there is none, circulate bottoms up at a reduced pump rate so that the shale shakers can handle the cuttings volume ",Reduce the mud pump rate until the shakers can handle the amount of cuttings in the returns and continue drilling,By pass the shale shakers until the problem is fixed ,Increase pump rate to the maximum pump speed,A,,
48,1,Topic,Shut-in ,DS1.48,"The crew has spaced out, shut down and successfully shut-in on a kick.   The stabilized Shut-in Drillpipe Pressure (SIDPP) reads 300 psi and the Shut-in Casing Pressure (SICP) reads 450 psi.  What is occurring in the shut-in well?","The well is not balanced, bottom hole pressure on the annulus side is higher than on the drill string side of the U-tube","The well is currently balanced, pressures at the bottom are balanced on both sides of the well","The well is not balanced, bottom hole pressure on the annulus side is lower due to the lighter density of formation fluids",The well is overbalanced causing loss of returns,B,,
49,1,Topic,SICP ,DS1.49,Which statement best describes Shut-in Casing Pressure (SICP)?,Total pressure applied at the casing shoe likely to cause losses,Total pressure inside the drill string minus the bottom hole pressure,Total pressure applied below the casing shoe likely to cause losses,The difference between the hydrostatic pressure in the annulus and the formation pressure ,D,,
50,1,Topic,SIDPP ,DS1.50,Which of the following statements best describes factors needed to determine drillpipe pressure?,Influx gradient psi/ft,Type of influx in the well,Mud density in the annulus,Mud density inside the drill string,D,,
51,1,Topic,SIDPP ,DS1.51,"During well control, Kill Weight Mud (KMW) has been pumped to the bit.  If the pumps were correctly staged down and the well shut-in, what would the Shut-in Drillpipe Pressure (SIDPP) reading be? JUST THEORY, DO NOT ATTEMPT IN REAL WORLD",The drill pipe pressure gauge will read the same pressure as the original SIDPP,The drill pipe pressure gauge will read the same pressure as the original SICP,The drill pipe pressure gauge will read greater than the new SICP value,The drill pipe pressure gauge should read 0 psi due to the string being full of kill mud,D,,
52,1,Topic,SPUTS ,DS1.52,Why is Staging Up to Speed (SPUTS) so important in well control?,To maintain a pressure safety margin of 100 psi while bringing the pump up to the kill rate,To allow the choke operator to reach the calculated initial circulating pressure,To reduce the time it takes for the hydraulic delay,To ensure the correct bottom hole pressure is set for the kill operation,D,,
53,1,Topic,BHP,DS1.53,What is the lagging indicator of an increase in formation pressure?,Increasing ROP,Decreasing WOB,Decrease in background gas,Change in background gas,D,,
54,1,Topic,BHP,DS1.54,"During a well kill, the pump rate is increased while keeping the drill pipe pressure constant. If we ignore any effects from the Equivalent Circulating Density (ECD), how will the increase in pump rate affect Bottom Hole Pressure (BHP)?",BHP will increase risking formation damage.,"BHP will remain constant, risking no further influx or damage to the formation.","BHP will decrease slowly and increase dramatically, risking further influx.",None of the above,D,,
55,1,Topic,BHP,DS1.55,"A well has been shut-in after a kick. The stabilized SIDPP = 300 psi and SICP = 500 psi. If the DP stays at 300 psi, what happens to the BHP?",Increase.,Stay the same,Decrease,None of the above,B,,
56,1,Topic,BHP,DS1.56,What is the purpose of a Staging Pumps Up to Speed (SPUTS) procedure on a surface stack rig?,To ensure correct drillpipe pressure is maintained.,To ensure correct bottomhole pressure is maintained.,To ensure correct casing pressure is maintained.,To ensure the driller can respond to orders,B,,
57,1,Topic,BHP,DS1.57,What causes the increased Bottom Hole Pressure when ballooning formations occur and the BHP is slightly higher than the formation fracture pressure?,Failure to fill up when tripping out.,Abnormal formation pressure,Drillpipe friction causes bottomhole pressure to decrease,Annular friction causes bottomhole pressure to exceed formation fracture pressure.,D,,
58,1,Topic,BHP,DS1.58,How will reducing the pump rate while keeping drillpipe pressure constant during a well kill on a surface BOP affect Bottom Hole Pressure (BHP)?,BHP will drop dramatically,There is no way to know what will happen to BHP,BHP will increase,Both B and C,C,,
59,1,Topic,BHP,DS1.59,"A well is shut-in after taking a 20 bbl kick with a Shut-in Drillpipe Pressure (SIDPP) reads 400 psi and a Shut-in Casing Pressure (SICP) reads 500 psi. If the well had been shut-in on a 10 bbl kick, how would the shut-in pressure change?",SICP would be lower,SIDPP would be lower,SICP would be higher,Shut-in pressures are not affected by influx size,A,,
60,1,Topic,BHP,DS1.60,"Both drillpipe and casing pressures are rising because of gas migration. If we keep the casing pressure constant at 500 psi, what will happen to the Bottom Hole Pressure (BHP)?",Decrease,Increase,BHP will not be affected,Slowly increase,A,,
61,1,Topic,BHP,DS1.61,"During the drilling a high temperature well, our Measurement While Drilling (MWD) shows the downhole temperature is significantly higher than the surface mud temperature. What effect will this temperature increase have on downhole hydrostatic pressure?",It will decrease the effective downhole mud weight and cause a lower hydrostatic pressure.,It will increase the effective downhole mud weight and cause a higher hydrostatic pressure.,Increased temperature has no effect on downhole hydrostatic pressure.,All the above,A,,
62,1,Topic,BHP,DS1.62,"During the 1st Circulation of the Driller's Method, the influx is currently being circulated out the hole.  If the gas influx is not allowed to expand, what will happen to the Bottom Hole Pressure (BHP)?",Stay the same,It will decrease,Both A and B,It will increase,D,,
63,1,Topic,BHP,DS1.63,"When we properly circulate out a kick, what is the main goal of well control?",To have an overbalance pressure as close to the fracture pressure as possible.,To maintain a BHP at least equal to formation,To use the highest pump rate possible.,To ensure the kick does not lead to a blowout during the 2nd Circulation of the Driller's Method,B,,
64,1,Topic,BHP,DS1.64,"When soft shales break down in the mud and increase mud viscosity, what happens to Bottom Hole Pressure (BHP)?",BHP will decrease.,BHP will stay constant,BHP will increase.,All the above,C,,
65,1,Topic,BHP,DS1.65,"If a gas influx is not allowed to expand while being displaced up the annulus, what will happen to Bottom Hole Pressure (BHP)?",Decrease,Stay the same,Both B and C,Increase,D,,
66,1,Topic,BHP,DS1.66,"The rig crew has successfully spaced out, shut down and shut-in.  The stabilized SIDPP =350 psi and SICP = 450 psi. If gas begins migrating and the pressure begin to rise, what would be the effect on BHP if the SIDPP was maintained at 350 psi?",It will stay the same,It will decrease,It will increase,Both A and B,A,,
67,1,Topic,BHP,DS1.67,What does the Bottom Hole Pressure do if the drillpipe pressure is kept constant as kill weight mud is pumped down the drillstring?,Increase,Stay the same,Decrease,Circulating CP will be variable,A,,
68,1,Topic,BHP,DS1.68,What will happen to Bottom Hole Pressure (BHP) if the Final Circulating Pressure (FCP) is held constant as Kill Weight Mud (KMW) is circulated up the annulus?,Stay the same,Decrease,Increase,Both A and B,A,,
69,1,Topic,BHP,DS1.69,"On a shut-in stabilized well, Shut-in Drillpipe Pressure (SIDPP) reads 325 psi and Shut-in Casing Pressure (SICP) reads 540 psi. If CP is held constant at 540 psi during gas migration, what will happen to BHP?",Increase,Decrease,Stay the same,All the above,B,,
70,1,Topic,BHP,DS1.70,"If the choke is closed to raise drillpipe pressure while circulating at constant SPM, what happens to bottom-hole pressure?",It will stay the same,It will decrease,It will increase,All the above,C,,
71,1,Topic,Blowout,DS1.71,What is an uncontrolled flow of formation fluids to the surface called?,Kick,Blowout,Porosity,Underground flow,B,,
72,1,Topic,ECD,DS1.72,The Equivalent Circulating Density (ECD) determines the actual Bottom Hole Pressure (BHP) while circulating down the drillstring and up the annulus. Which part of the system's pressure losses is used to calculate the ECD?,The pressure loss across the nozzles,The pressure loss in the drillstring,The pressure loss in surface lines,The pressure loss in the annulus,D,,
73,1,Topic,ECD,DS1.73,"A loss of Equivalent Circulating Density (ECD) may show that the well has become underbalanced.  For our operations, what downhole tool would be the best option to accurately measure ECD while drilling?",A pressure while drilling (PWD) tool,A rotary steerable tool,An adjustable gauge stabilizer (AGS) tool,A cement bond log tool ,A,,
74,1,Topic,ECD,DS1.74,The Pressure While Drilling (PWD) tool in the bottomhole assembly (BHA) gives us data which shows a drop in Equivalent Circulating Density (ECD) while drilling. What could lead to this drop in ECD during drilling?,A loss of overbalance with formation fluids contaminating the mud in the annulus.,A change in the ROP,Increasing the RPM on the drillstring.,A washout in the drillstring above the BHA,A,,
75,1,Topic,Equip,DS1.75,Shut-in Casing Pressure (SICP) value is affected by which condition?,Annulus capacity per foot,Slow circulating rate pressure,Length of choke line,Pump rate,A,,
76,1,Topic,Equip,DS1.76,"Concerning shallow hazards, which statement best describes a procedure which could result in an influx into the wellbore?",Pumping out of the hole,Not filling the hole properly while tripping out of the hole,Reducing the pump rate,Performing a flow check,B,,
77,1,Topic,MAASP,DS1.77,Which statement can increase risk for exceeded the Maximum Allowable Annular Surface Pressure (MAASP) during a kill operation?,Short open hole section,Small difference between formation fracture pressure and mud hydrostatic pressure,Large difference between formation fracture pressure and mud hydrostatic pressure,Long casing section,B,,
78,1,Topic,Pumps,DS1.78,What happens to bottom-hole pressure if the pumps are speeded up while holding drillpipe pressure constant?,It will decrease,It will increase,It will stay the same,All the above,A,,
79,1,Topic,Pumps,DS1.79,"During the second circulation of the Driller's Method, the final circulating pressure is 350 psi at 150 gallons per minute. What would happen to the casing pressure if circulation was stopped and the choke closed once KWM enters the annulus?",Decreases,Increases,Stays the same.,All the above,B,,
80,1,Topic,Pumps,DS1.80,What are the changes in Drillpipe Pressure which can be expected if the mud density is decreased?,Pump pressure will increase,Pump pressure will stay the same,Pump pressure will slowly decline to zero,Pump pressure will decrease,D,,
81,1,Topic,SCR,DS1.81,Which of the following statements best describes needed action for updating and recording a new Slow Circulating Rate Pressure (SCRP)?,Every time 50 ft of new formation is drilled,Only after recharging the mud pump pulsation dampener,When you drill long sections of hole rapidly,Only at the beginning of a new hole section,C,,
82,1,Topic,SICP,DS1.82,"A rig drilled 2000 feet since the Slow Circulating Rate Pressure (SCRP) was recorded. A kick occured and was successfully shut in. The plan is to circulate the influx out using the Driller's method, and then staged pumps up to speed (SPUTS) was performed correctly. How would the actual Initial Circulating Pressure (ICP) compare to the pre-calculated ICP?",ICP actual = ICP calculated,ICP actual < ICP calculated,ICP actual > ICP calculated,ICP actual = FCP,C,,
83,1,Topic,SICP,DS1.83,"When circulating out an influx from a non-aqueous (oil-based) mud, what happens to the choke pressure as gas is liberated from the non-aqueous (oil-based) mud?",Stay the same.,Decrease rapidly,Increase rapidly,None of the above,C,,
84,1,Topic,SICP,DS1.84,Which of the following properties will affect the value of the Shut-In Casing Pressure (SICP)?,The formation fluid pressure (pore pressure),Permeability of formation,Porosity of formation.,Type of formation fluids,A,,
85,1,Topic,SICP,DS1.85,"If a kick is shut-in and the Slow Circulating Rate Pressure (SCRP) is not known, what procedure should be used to get the correct Initial Circulating Pressure (ICP)?","Follow the correct start-up procedure.  When the kill rate has been reached, the drillpipe pressure minus any overbalance or safety factor will be the ICP",Contact mud logger and request the best possible calculation of ICP,Check the records and chose the kill rate circulating pressure taken with the last BHA in the hole nearest to the depth where the kick took place.  Add 100 psi as a safety margin.,"Stage pumps up to speed holding drillpipe pressure constant.  When kill rate has been reached, subtract off any overbalance or safety factor will be the ICP",A,,
86,1,Topic,SICP,DS1.86,SICP value is affected by which factor?,The ID of the BHA and drillpipe.,Drillstring capacity per foot,Annulus capacity per foot,Hole diameter,C,,
87,1,Topic,SICP,DS1.87,"If a drillstring 750 ft off bottom is stripped into an influx which is not migrating and is at the bottom of the hole, what would be expected to happen to the SICP?",Stay the same,Decrease,Increase,All the above,C,,
88,1,Topic,SICP,DS1.88,A salt-water kick is circulated out using the Driller’s Method. The shut-in pressures and influx gradient calculation determine the influx has a greater density than current mud in the well.  When will the surface casing pressure be at its minimum valve?,When the influx is at the choke.,When the annular geometry causes the influx to have minimum height.,When the annular geometry causes the influx to have the maximum height,At shut-in conditions only,C,,
89,1,Topic,SICP,DS1.89,"After the crew has successfully spaced out, shut down and shut-in.  The pressures are allowed to stabilize.  The remote choke panel Shut-in Drillpipe Pressure (SIDPP) reads 300 psi.  The standpipe SICP reads 750 psi.  What is the Driller's safest next step?",Investigate the reason for the difference,Record the pressure from the pressure gauge on the choke panel.,Record the pressure from the pressure gauges on the choke manifold,Assume the remote panel gauges are inaccurate and need to be replaced,A,,
90,1,Topic,SIDPP,DS1.90,Which of these methods could be used to find the Shut-In Drillpipe Pressure (SIDPP) if a kick occurs with a non-ported float valve in the drillstring?,"Pump slowly down the drillpipe until the float is observed opening, then shut down the pumps.  Record the pressure when the float opened as the SIDPP.","Pump slowly down the casing, until the SIDPP begins to rise, then stop pumping.  The SIDPP is the SICP minus any trapped pressure.","Pump quickly down the drillpipe until the SICP starts to increase, then increase pumping until 500 psi worth of trapped pressure is built.  The SIDPP is the drillpipe pressure minus 500 psi.","Pump slowly down the drillpipe until the SICP starts to increase, then stop pumping.  The SIDPP is the drillpipe pressure minus current trapped pressure.",D,,
91,1,Topic,SIDPP,DS1.91,"A well has been shut-in after a kick, and the drillpipe pressure is zero because there is a Non-Return Float Valve in the string. How should the operator obtain the Shut-In Drill Pipe Pressure (SIDPP)?",Pump very slowly into the drillstring with the well shut-in and continue pumping until the casing pressure reaches 100 psi over SICP.  Stop the pumps.  Record current SICP and subtract 100 psi to achieve SIDPP.,Bring the pump up to kill rate holding the casing pressure constant by opening the choke.  The pressure shown when the pump is at kill rate is the Shut-In Drill Pipe Pressure,"Pump very slowly into the drill string with the well shut-in and as casing pressure starts to rise, stop the pump, read the pressure, and subtract any overbalance.",None of the above,C,,
92,1,Topic,SIDPP,DS1.92,"After observing a well flowing, space out, shut down and observe flow, then shut-in the BOP, what key data set must the Driller record?",Rotary Torque,WOB,SIDPP,SICP and ROP,C,,
93,1,Topic,Temp,DS1.93,How is the density of oil-based mud affected due to increasing wellbore temperature?,Increases mud density,Mud Density remains the same,Decreases mud density,None of the above,C,,
94,1,Topic,BHP ,DS1.94,What effect does Annular Pressure Loss (APL) have on Bottom Hole Pressure (BHP)?,It causes BHP to be greater than the hydrostatic pressure,It causes BHP to be less than the hydrostatic pressure,It causes BHP to be equal to the hydrostatic pressure,None of the above,A,,
95,1,Topic,Check,DS1.95,When would a flowcheck not be necessary?,After tripping back to bottom.,After driller has increased the WOB,After seeing a pit level increase,When you are below the BOP stack during a trip out of the hole,B,,
96,1,Topic,Drill,DS1.96,Why are well control drills are conducted?,To meet governmental regulations and policies surrounding operations of well control,To train crew members to be able to have the fastest documented times to close in the well,To familiarize the rig crews with techniques that will be implemented in the event of a kick,All the above,D,,
97,1,Topic,Drill,DS1.97,What is the function of pit drills?,To ensure that the crew can fill out a kill sheet,To ensure that the BOPs are functioning properly,To ensure that the crew can effectively recognize and react to a kick.,To ensure rig crews can effectively clean pits,C,,
98,1,Topic,Accum,DS1.98,"On the BOP Closing Unit, the By-Pass Lever is used to perform which operation?",Increase the accumulator pressure to 3000 psi,Decrease the accumulator pressure to 1500 psi,Increase air pressure for the Remote BOP panel,Increase the manifold pressure to the current accumulator pressure,D,,
99,1,Topic,Accum,DS1.99,"From the BOP Remote panel after the air lever handle has been engaged and the Upper Pipe Ram is closed, what has happened if the open light goes out, the close light does illuminates and the pressure gauges do not decrease?",Faulty pressure switch,Close line is most likely blocked,Close line is most likely leaking,Faulty hydraulic switch,B,,
100,1,Topic,Accum,DS1.100,"On the Remote BOP panel, the by-pass valve handle (or button) directs full 3000 psi accumulator pressure to which of the following?",Pipe rams only,Annular preventer only,Pipe rams and HCR valves only,Both Annular preventer and Diverter,C,,
101,1,Topic,Accum,DS1.101,"From the BOP Remote panel, Upper Pipe Ram is closed.  If the open light goes out, the close light does not illuminate while the accumulator and manifold pressures dropped and returned to normal?",The close line is blocked,The close line is leaking,The pressure switch is faulty,There is a fault in the close light electrical circuit,D,,
102,1,Topic,Accum,DS1.102,"At BOP Control Unit, annular preventer is closed.  Both Accumulator and Annular gauges drop, but don't return to normal pressure while the pneumatic pump is running continuously.  What problem has occurred?",There is a leak in the annular closing line,The 3-position valve did not operate properly,The annular closing line is most likely blocked,The accumulator line going to the 3-position valve is blocked,A,,
103,1,Topic,Accum,DS1.103,"From the BOP Remote panel, the pipe ram is closed observing 1) Open light went out, Close light is on, 2) Annular pressure didn't change, 3) Manifold pressure dropped, returns to original pressure, 4) Accumulator pressure dropped to 2300 psi and remained steady.  What's the problem?",A blockage in the hydraulic line between the BOP to the BOP control unit,The pressure switch or the pumps on the BOP control unit did not function properly,A leakage in the hydraulic line between the BOP to the BOP control unit,The 3-position/ 4-way valve is stuck in the open position,B,,
104,1,Topic,Accum,DS1.104,"From the BOP Remote panel (non-Mux), after the air lever handle has been engaged, the annular preventer is closed.  The open light goes out and the close light illuminates.  What problem has occurred?",Confirms the annular preventer shut in the well,A signal has been sent successfully to the annular preventer regulating unit,The annular 3-position valve on the accumulator unit has functioned properly,The close line is most likely blocked,C,,
105,1,Topic,Accum,DS1.105,"If the air pressure reads zero on the BOP Remote panel, which of the following statement is true?",All functions on the remote panel will operate properly,The annular preventer will operate properly,The pipe rams will operate properly,No BOP functions can be operated from the remote panel,D,,
